BLACK
858.00,826.00,720.00
WHITE
630.00,583.00,340.00

249.41,88.15,73.14,MY_RED,1
248.29,87.10,72.47,MY_RED,1
248.29,88.15,72.47,MY_RED,1
249.41,88.15,73.14,MY_RED,1
250.53,88.15,73.14,MY_RED,1
250.53,88.15,73.14,MY_RED,1
250.53,88.15,73.14,MY_RED,1
250.53,88.15,73.14,MY_RED,1
251.64,88.15,73.82,MY_RED,1
251.64,88.15,73.14,MY_RED,1
243.82,86.05,53.01,MY_RED,1
243.82,87.10,53.01,MY_RED,1
243.82,86.05,53.01,MY_RED,1
243.82,86.05,53.01,MY_RED,1
243.82,86.05,53.01,MY_RED,1
243.82,86.05,53.01,MY_RED,1
246.05,88.15,71.80,MY_RED,1
247.17,88.15,71.80,MY_RED,1
242.70,88.15,71.13,MY_RED,1
232.63,87.10,71.13,MY_RED,1
238.22,87.10,71.13,MY_RED,1
274.01,201.48,208.70,MY_PINK,1
269.54,199.38,208.03,MY_PINK,1
269.54,199.38,207.36,MY_PINK,1
270.66,199.38,208.03,MY_PINK,1
270.66,199.38,208.03,MY_PINK,1
270.66,199.38,208.03,MY_PINK,1
270.66,200.43,208.03,MY_PINK,1
270.66,199.38,207.36,MY_PINK,1
271.78,200.43,208.03,MY_PINK,1
271.78,200.43,208.03,MY_PINK,1
271.78,199.38,208.03,MY_PINK,1
88.36,153.21,122.80,MY_GREEN,1
88.36,153.21,122.80,MY_GREEN,1
89.47,153.21,122.13,MY_GREEN,1
87.24,152.16,121.46,MY_GREEN,1
87.24,153.21,121.46,MY_GREEN,1
88.36,152.16,121.46,MY_GREEN,1
88.36,153.21,121.46,MY_GREEN,1
88.36,153.21,121.46,MY_GREEN,1
88.36,153.21,122.13,MY_GREEN,1
88.36,153.21,122.13,MY_GREEN,1
88.36,153.21,122.13,MY_GREEN,1
98.42,162.65,133.54,MY_GREEN,1
98.42,162.65,133.54,MY_GREEN,1
98.42,162.65,133.54,MY_GREEN,1
98.42,162.65,133.54,MY_GREEN,1
98.42,163.70,133.54,MY_GREEN,1
98.42,162.65,133.54,MY_GREEN,1
98.42,162.65,133.54,MY_GREEN,1
98.42,162.65,133.54,MY_GREEN,1
98.42,162.65,133.54,MY_GREEN,1
98.42,162.65,133.54,MY_GREEN,1
98.42,162.65,133.54,MY_GREEN,1
82.76,147.96,220.78,MY_BLUE,1
82.76,149.01,220.78,MY_BLUE,1
82.76,149.01,220.78,MY_BLUE,1
82.76,149.01,220.78,MY_BLUE,1
82.76,149.01,220.78,MY_BLUE,1
81.64,145.86,203.33,MY_BLUE,1
81.64,144.81,202.66,MY_BLUE,1
81.64,144.81,202.66,MY_BLUE,1
81.64,144.81,202.66,MY_BLUE,1
80.53,143.77,202.66,MY_BLUE,1
284.08,146.91,61.74,MY_ORANGE,1
284.08,146.91,61.74,MY_ORANGE,1
284.08,147.96,61.74,MY_ORANGE,1
284.08,146.91,62.41,MY_ORANGE,1
284.08,146.91,61.74,MY_ORANGE,1
281.84,143.77,61.07,MY_ORANGE,1
280.72,142.72,61.07,MY_ORANGE,1
280.72,143.77,61.07,MY_ORANGE,1
280.72,142.72,61.07,MY_ORANGE,1
280.72,143.77,61.07,MY_ORANGE,1
295.26,287.53,234.20,MY_WHITE,1
296.38,287.53,234.20,MY_WHITE,1
295.26,287.53,233.53,MY_WHITE,1
296.38,287.53,234.20,MY_WHITE,1
296.38,287.53,234.20,MY_WHITE,1
272.89,274.94,241.58,MY_WHITE,1
272.89,275.99,241.58,MY_WHITE,1
272.89,275.99,241.58,MY_WHITE,1
272.89,274.94,241.58,MY_WHITE,1
272.89,274.94,241.58,MY_WHITE,1
